Ref.	Bª Sta Catalina	HOSPITAL	Allen	Fdez. Oro	Cipolletti	Neuquén
18:20	18:30	18:45	19:00	19:15	19:35	19:50	20:05	20:15	20:30	20:45	21:00	21:30	21:40
19:00	19:10	19:25	19:40	19:55	20:15	20:40	20:55	21:05	21:20	21:35	21:50	22:20	22:30
20:10	20:20	20:35	20:50	21:05	21:25	22:00	22:15	22:25	22:40	22:55	23:10	23:40	23:50
20:55	21:05	21:20	21:35	21:50	22:10	22:45	23:00	23:15	23:30	23:45	00:00	00:30	
21:50	22:00	22:15	22:30	22:45	23:00	23:30	23:45	23:55	00:10	00:25	00:40	01:10	
22:30	22:40	22:55	23:10	23:25	23:40	00:00	00:15	00:20	00:30				
						00:20	00:35	00:45	01:00	01:15	01:30	02:00	
23:40	23:50	00:00	00:10	00:20	00:50	01:05	01:15	01:25	01:35				
						01:20	01:30	01:40	01:50				
[---]
ref	roca	gomez	guerrico	allen	fdez oro	cipolletti
CH				07:10	07:25	07:40
CH				07:55	08:10	08:25
CH				08:35	08:50	09:05
CH				09:55	10:10	10:25
CH					11:00	11:15
CH	10:40	10:55	11:10	11:25	11:40	11:55
CH				12:30	12:45	13:00
CH	12:50	13:10	13:20	13:35	13:50	14:05
A	14:35	14:50	15:05	15:20	15:35	15:50
CH	17:15	17:30	17:40	17:55	18:10	18:25
CH				18:00	18:15	18:30
A				19:25	19:40	19:55
CH	21:05	21:20	21:30	21:45		
CH	21:20	21:30	21:45	22:00	22:10	22:25
[---]
ref	cipolletti	fdez oro	allen	guerrico	gomez	roca
CH	07:15	07:30	07:45			
CH	07:50	08:05	08:20			
CH	09:00	09:15	09:30			
CH	09:15	09:35	09:50	10:05	10:15	10:30
CH	10:25	10:40				
CH	11:20	11:35	11:50	12:05	12:20	12:30
CH	12:00	12:15	12:25			
CH	14:20		14:45			15:10
CH	16:00	16:15	16:30	16:45	16:55	17:10
CH	17:20	17:35	17:50			
 CH	18:40	18:55	19:10			
CH	19:15	19:30	19:45	20:00	20:10	20:25
						21:15
CH	22:30	22:40	22:50			
